Species,Pouch,BM_min,BM_max,BM_mean,LS_min,LS_max,LS_mean
Caluromys_derbianus,present,245,370,307.5,2,4,3.3
Caluromys_lanatus,present,300,520,410,1,4,3.7
Caluromys_philander,absent,140,390,265,2,7,4.18
Caluromysiops_irrupta,present,300,500,400,NA,NA,2
Chironectes_minimus,present,510,790,650,1,5,3.24
Didelphis_albiventris,present,500,2500,1500,3,12,7.26
Didelphis_aurita,present,700,1500,1100,4,12,7.24
Didelphis_imperfecta,present,600,1200,900,1,7,4.9
Didelphis_marsupialis,present,570,2400,1485,1,14,5.4
Didelphis_pernigra,present,720,2000,1360,2,7,4.2
Didelphis_virginiana,present,500,5900,3200,6,21,7.97
Lutreolina_crassicaudata,present,200,910,555,7,11,8.1
Philander_andersoni,present,225,600,412.5,2,4,3
Philander_mcilhennyi,present,396,640,518,4,7,5
Philander_opossum,present,200,674,437,2,7,4.55
Marmosa_alstoni,absent,60,150,105,NA,NA,11
Marmosa_andersoni,absent,28,38,33,NA,NA,5
Marmosa_constantiae,absent,68,90,79,NA,NA,8
Marmosa_demerarae,absent,62,130,96,6,11,6.29
Marmosa_lepida,absent,10,18,14,NA,NA,4.99
Marmosa_mexicana,absent,24,99,61.5,2,13,11.6
Marmosa_murina,absent,19,100,59.5,1,11,4.8
Marmosa_paraguayana,absent,56,230,143,5,11,5.56
Marmosa_regina,absent,76,164,120,6,8,7
Marmosa_robinsoni,absent,39,110,74.5,2,19,9.5
Marmosa_tyleriana,absent,30,56,43,NA,NA,3
Marmosa_xerophila,absent,29,87,58,3,12,9.15
Monodelphis_adusta,absent,15,35,25,NA,NA,4
Monodelphis_arlindoi,absent,33,105,69,NA,NA,6
Monodelphis_brevicaudata,absent,50,127,88.5,NA,NA,7.24
Monodelphis_dimidiata,absent,40,84,62,11,16,12
Monodelphis_domestica,absent,58,110,84,2,16,9.46
Monodelphis_palliolata,absent,32,106,69,7,8,7.5
Tlacuatzin_canescens,absent,30,70,50,8,14,11
Metachirus_myosuros,absent,284,480,382,1,9,7.2
Cryptonanus_chacoensis,absent,10,19,14.5,NA,NA,12
Gracilinanus_agilis,absent,15,40,27.5,9,12,10
Gracilinanus_microtarsus,absent,12,58,35,4,12,9.7
Marmosops_parvidens,absent,21,31,26,NA,NA,4.05
Thylamys_elegans,absent,NA,NA,25,10,13,11.5
Thylamys_pallidior,absent,13,38.5,25.75,3,4,3.5
Glironia_venusta,absent,NA,NA,130,NA,NA,3
Hyladelphys_kalinowskii,absent,10,20,15,NA,NA,4
Caenolestes_caniventer,absent,29,47,38,NA,NA,2
Caenolestes_fuliginosus,absent,25,35,30,NA,NA,3.62
Dromiciops_gliroides,absent,16,32,24,2,4,3
Notoryctes_typhlops,present,50,60,55,1,2,1.5
Myrmecobius_fasciatus,absent,300,750,525,NA,NA,3.68
Dasycercus_cristicauda,absent,65,185,125,NA,NA,6.5
Dasykaluta_rosamondae,absent,20,40,30,NA,NA,6.64
Dasyuroides_byrnei,absent,70,140,105,NA,NA,5.14
Dasyurus_albopunctatus,absent,520,710,615,4,6,5
Dasyurus_hallucatus,absent,240,1100,670,6,8,6.39
Dasyurus_maculatus,present,800,7000,3900,NA,NA,4.47
Dasyurus_spartacus,absent,NA,NA,684,NA,NA,6.78
Dasyurus_viverrinus,absent,700,1900,1300,4,6,4.7
Parantechinus_apicalis,absent,40,125,82.5,7,8,7.5
Phascolosorex_dorsalis,present,42,145,93.5,1,4,3.39
Pseudantechinus_bilarni,absent,15,40,27.5,4,5,4.75
Pseudantechinus_macdonnellensis,absent,20,45,32.5,5,6,5.88
Pseudantechinus_woolleyae,absent,30,50,40,4,6,5.99
Sarcophilus_harrisii,present,5000,14000,9500,2,4,2.88
Antechinus_agilis,absent,16,40,28,6,10,8
Antechinus_bellus,absent,25,83,54,NA,NA,10
Antechinus_flavipes,absent,21,76,48.5,8,14,8.54
Antechinus_godmani,absent,42,123,82.5,1,6,4.58
Antechinus_leo,absent,32,124,78,8,10,8.19
Antechinus_minimus,absent,36,129,82.5,6,8,7.19
Antechinus_stuartii,absent,16,71,43.5,6,10,6.89
Antechinus_swainsonii,absent,35,178,106.5,6,10,8.24
Murexia_habbema,absent,22.7,45.4,34.05,2,4,3
